Code,Name
U+1F9C1,cupcake
U+1F967,pie
U+1F36B,chocolate bar
U+1F36C,candy
U+1F36D,lollipop
U+1F36E,custard
U+1F36F,honey pot
U+1F95B,glass of milk
U+2615,hot beverage
U+1FAD6,  teapot
U+1F375,teacup without handle
U+1F376,sake
U+1F37E,bottle with popping cork
U+1F377,wine glass
U+1F378,cocktail glass
U+1F379,tropical drink
U+1F37A,beer mug
U+1F37B,clinking beer mugs
U+1F942,clinking glasses
U+1F943,tumbler glass
U+1F964,cup with straw
U+1F9CB,  bubble tea
U+1F9C3,beverage box
U+1F9C9,mate
U+1F9CA,ice
U+1F962,chopsticks
U+1F37D,fork and knife with plate
U+1F374,fork and knife
U+1F944,spoon
U+1F52A,kitchen knife
U+1F3FA,amphora
U+1F30D,globe showing Europe Africa
U+1F30E,globe showing Americas
U+1F30F,globe showing Asia Australia
U+1F310,globe with meridians
U+1F5FA,world map
U+1F5FE,map of Japan
U+1F9ED,compass
U+1F3D4,snow capped mountain
U+26F0,mountain
U+1F30B,volcano
U+1F5FB,mount fuji
U+1F3D5,camping
U+1F3D6,beach with umbrella
U+1F3DC,desert
U+1F3DD,desert island
U+1F3DE,national park
U+1F3DF,stadium
U+1F3DB,classical building
U+1F3D7,building construction
U+1F9F1,brick
U+1FAA8,  rock
U+1FAB5,  wood
U+1F6D6,  hut
U+1F3D8,houses
U+1F3DA,derelict house
U+1F3E0,house
U+1F3E1,house with garden
U+1F3E2,office building
U+1F3E3,Japanese post office
U+1F3E4,post office
U+1F3E5,hospital
U+1F3E6,bank
U+1F3E8,hotel
U+1F3E9,love hotel
U+1F3EA,convenience store
U+1F3EC,department store
U+1F3EF,Japanese castle
U+1F3F0,castle
U+1F492,wedding
U+1F5FC,Tokyo tower
U+1F5FD,Statue of Liberty
U+26EA,church
U+1F54C,mosque
U+1F6D5,hindu temple
U+1F54D,synagogue
U+26E9,shinto shrine
U+1F54B,kaaba
U+26F2,fountain
U+26FA,tent
U+1F301,foggy
U+1F303,night with stars
U+1F3D9,cityscape
U+1F304,sunrise over mountains
U+1F305,sunrise
U+1F306,cityscape at dusk
U+1F307,sunset
U+1F309,bridge at night
U+2668,hot springs
U+1F3A0,carousel horse
